"sample","Viral_family","Substitution_rate","Temperate"
1,"Microviridae",-4.25,"no"
2,"Microviridae",-4.5,"no"
3,"Microviridae",-5,"no"
4,"Microviridae",-5.15,"no"
5,"Microviridae",-5.25,"no"
6,"Microviridae",-5.6,"no"
7,"Microviridae",-6,"no"
8,"Microviridae",-6.5,"no"
9,"Myoviridae",-5.45,"yes"
10,"Myoviridae",-5.75,"yes"
11,"Myoviridae",-5.76,"no"
12,"Myoviridae",-5.77,"yes"
13,"Myoviridae",-6.25,"yes"
14,"Myoviridae",-6.3,"yes"
15,"Myoviridae",-6.4,"yes"
16,"Myoviridae",-6.53,"yes"
17,"Myoviridae",-6.7,"no"
18,"Podoviridae",-5,"no"
19,"Podoviridae",-5.5,"no"
20,"Podoviridae",-5.49,"no"
21,"Podoviridae",-5.6,"no"
22,"Podoviridae",-6.54,"no"
23,"Podoviridae",-6.55,"yes"
24,"Siphoviridae",-5.5,"yes"
25,"Siphoviridae",-5.52,"no"
26,"Siphoviridae",-5.75,"yes"
27,"Siphoviridae",-5.76,"no"
28,"Siphoviridae",-5.84,"yes"
29,"Siphoviridae",-5.85,"no"
30,"Siphoviridae",-5.86,"no"
31,"Siphoviridae",-6,"no"
32,"Siphoviridae",-6.3,"no"
33,"Siphoviridae",-6.4,"no"
34,"Siphoviridae",-6.48,"no"
35,"Siphoviridae",-6.52,"yes"
36,"Siphoviridae",-6.74,"yes"
37,"Siphoviridae",-6.745,"yes"
38,"Siphoviridae",-6.748,"yes"
39,"Siphoviridae",-6.75,"yes"
40,"Siphoviridae",-6.85,"yes"
