Sampling day,Replicate,Read,Aligned reads,Percent aligned
0,1,20312322,18331267,90.25
0,2,24435114,22289142,91.22
180,1,24875744,24691054,99.26
181,1,23959436,23841743,99.51
182,1,15505820,15208373,98.08
182,2,16812218,16706701,99.37
183,1,17774454,17264914,97.13
184,1,19893608,19702285,99.04
851,1,25101704,25084614,99.93
852,2,27714314,27697853,99.94
852,1,28434716,28387692,99.83
852,2,29751810,29692193,99.8
853,1,15903684,15896899,99.96
853,2,25144920,25123536,99.92
854,1,29634128,29623353,99.96
855,1,22257952,22255753,99.99
879,1,16071666,16070799,99.99
879,2,16405346,16402036,99.98
880,1,21052128,21046503,99.97
880,2,19138984,19136500,99.99
881,1,29389988,29372515,99.94
881,2,35751748,35724342,99.92
882,1,29211340,29205227,99.98
883,1,39238778,39234718,99.99
